rep_genome	genome	gtdb_r220_taxonomy	study	sample_id	Asia	Europe	Hadza	NorthAmerica	Tsimane	total_mag_count
CAG_710_sp000432595__Hadza_MoBio_C_REDO_A_11_1511	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_A_11_1511.81	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-710;s__CAG-710 sp000432595	Hadza	Hadza_MoBio_C-REDO_A_11_1511	0	3	46	1	14	64
CAG_1000_sp934102215__Hadza_MoBio_C_REDO_D_2_1542	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_D_2_1542.167	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1000;s__CAG-1000 sp934102215	Hadza	Hadza_MoBio_C-REDO_D_2_1542	0	0	14	0	8	22
CAG_877_sp934167665__Hadza_MoBio_hadza_A_D_A_22_1120	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_A_22_1120.86	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp934167665	Hadza	Hadza_MoBio_hadza-A-D_A_22_1120	0	0	25	0	5	30
UBA3789_sp934140575__Hadza_MoBio_hadza_A_D_B_22_1612	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_22_1612.35	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UBA3789;s__UBA3789 sp934140575	Hadza	Hadza_MoBio_hadza-A-D_B_22_1612	0	0	50	0	8	58
CAG_302_sp001916775__Hadza_MoBio_hadza_A_D_E_14_1160	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_14_1160.20	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp001916775	Hadza	Hadza_MoBio_hadza-A-D_E_14_1160	3	3	16	2	6	30
CAG_628_sp934085635__Hadza_MoBio_hadza_A_D_E_14_1160	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_14_1160.220	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-628;s__CAG-628 sp934085635	Hadza	Hadza_MoBio_hadza-A-D_E_14_1160	0	0	28	0	5	33
Cryptobacteroides_sp900541925__Hadza_MoBio_hadza_A_D_E_6_1152	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.330	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900541925	Hadza	Hadza_MoBio_hadza-A-D_E_6_1152	0	1	78	0	19	98
CAG_302_sp934162325__Hadza_MoBio_hadza_A_D_L_3_1539	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_3_1539.124	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp934162325	Hadza	Hadza_MoBio_hadza-A-D_L_3_1539	10	13	44	14	14	95
CAG_877_sp000433455__Hadza_MoBio_hadza_E_H_E_9_1723	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_9_1723.111	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-877;s__CAG-877 sp000433455	Hadza	Hadza_MoBio_hadza-E-H_E_9_1723	0	1	18	0	7	26
Cryptobacteroides_sp000432655__Hadza_MoBio_hadza_E_H_H_22_2297	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_H_22_2297.142	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000432655	Hadza	Hadza_MoBio_hadza-E-H_H_22_2297	0	1	76	0	17	94
CAG_302_sp900543825__Hadza_MoBio_hadza_E_H_I_3_1743	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_I_3_1743.204	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp900543825	Hadza	Hadza_MoBio_hadza-E-H_I_3_1743	4	6	35	1	9	55
